,num_points,max_iterations,application,num_threads,chunk_size,repeat,runtime,comptime,work
147,100,100,withomp,6,default,3,0.00033133300030385726,1.5624999377905624e-05,[ 3878 24109 81096 75522 18021  3546]
148,100,100,withomp,6,default,4,0.0003292920000603772,1.766599962138571e-05,[ 3878 24109 81096 75522 18021  3546]
149,100,100,withomp,6,default,5,0.0003282090001448523,1.874899953691056e-05,[ 3878 24109 81096 75522 18021  3546]
150,100,100,withomp,7,default,1,0.0003257499997744162,1.9250000150350388e-05,[ 3229 12596 53468 77758 46916  9271  2934]
151,100,100,withomp,7,default,2,0.00032620899992252816,1.8791000002238434e-05,[ 3229 12596 53468 77758 46916  9271  2934]
152,100,100,withomp,7,default,3,0.0003235409999433614,2.1458999981405213e-05,[ 3229 12596 53468 77758 46916  9271  2934]
153,100,100,withomp,7,default,4,0.00032283300015478744,2.2166999769979157e-05,[ 3229 12596 53468 77758 46916  9271  2934]
154,100,100,withomp,7,default,5,0.0003183339999850432,2.6665999939723406e-05,[ 3229 12596 53468 77758 46916  9271  2934]
155,100,100,withomp,8,default,1,0.0002992909999193216,1.5001000065240078e-05,[ 2651  7392 36272 68613 56427 26954  5474  2389]
156,100,100,withomp,8,default,2,0.0002932500001406879,2.1041999843873782e-05,[ 2651  7392 36272 68613 56427 26954  5474  2389]
157,100,100,withomp,8,default,3,0.00029745799974989495,1.6834000234666746e-05,[ 2651  7392 36272 68613 56427 26954  5474  2389]
158,100,100,withomp,8,default,4,0.0002845409999281401,2.9751000056421617e-05,[ 2651  7392 36272 68613 56427 26954  5474  2389]
159,100,100,withomp,8,default,5,0.0002911659998972027,2.312600008735899e-05,[ 2651  7392 36272 68613 56427 26954  5474  2389]
160,100,100,withomp,1,1,1,0.0008140410000123666,1.0167000255023595e-05,[206172]
161,100,100,withomp,1,1,2,0.0008103330001176801,1.3875000149710104e-05,[206172]
162,100,100,withomp,1,1,3,0.0008094169998003053,1.4791000467084814e-05,[206172]
163,100,100,withomp,1,1,4,0.0008096669998849393,1.4541000382450875e-05,[206172]
164,100,100,withomp,1,1,5,0.0008101660000647826,1.4042000202607596e-05,[206172]
165,100,100,withomp,2,1,1,0.00045720900016021915,4.2874999962805305e-05,[103086 103086]
166,100,100,withomp,2,1,2,0.0004610000000866421,3.908400003638235e-05,[103086 103086]
167,100,100,withomp,2,1,3,0.00045191599974714336,4.816800037588109e-05,[103086 103086]
168,100,100,withomp,2,1,4,0.0004555840000648459,4.450000005817856e-05,[103086 103086]
169,100,100,withomp,2,1,5,0.0004532909997578827,4.679300036514178e-05,[103086 103086]
170,100,100,withomp,3,1,1,0.0003040000001419685,9.124999451159965e-06,[68916 68628 68628]
171,100,100,withomp,3,1,2,0.0003053330001421273,7.791999451001175e-06,[68916 68628 68628]
